,model,validation f1 mean,validation f1 std,validation precision mean,validation precision std,validation recall mean,validation recall std,validation loss mean,validation loss std,validation auc mean,validation auc std
0,allergy__CNNLSTM__mean.pth,0.433776707,0.108248182,0.495979927,0.278487995,0.838369408,0.126001886,0.679748052,0.007318507,0.725783955,0.088405722
1,allergy__LSTM_padded_None.pth,0.401585896,0.160274441,0.35571988,0.247315579,0.847334055,0.124739511,0.666419321,0.008638213,0.663158335,0.085849874
2,allergy_None__LSTM_padded_GAIN.pth,0.401585896,0.160274441,0.35571988,0.247315579,0.847334055,0.124739511,0.666419303,0.008638199,0.663297224,0.085968826
3,allergy_None__LSTM__GAIN.pth,0.377873479,0.15320746,0.340461349,0.250118207,0.833048341,0.13082977,0.666446662,0.008605781,0.666653153,0.117316587
4,allergy__LSTM__mean.pth,0.385205006,0.154807984,0.35999667,0.251651835,0.833048341,0.13082977,0.666378546,0.008629965,0.668033611,0.105324139
5,allergy__LSTM__mice.pth,0.385205006,0.154807984,0.35999667,0.251651835,0.833048341,0.13082977,0.666378546,0.008629965,0.668033611,0.105324139
6,allergy__LSTM__None.pth,0.385205006,0.154807984,0.35999667,0.251651835,0.833048341,0.13082977,0.666378546,0.008629965,0.668033611,0.105324139
7,allergy_class__LSTM_padded_None.pth,0.386798694,0.147479652,0.414642857,0.240157763,0.812135642,0.117123258,0.670474952,0.004967951,0.674344041,0.088762745
8,allergy_class__CNNLSTM__mean.pth,0.377795483,0.146812715,0.271175327,0.120951494,0.856424964,0.125593418,0.727346915,0.003876648,0.677714235,0.072037507
9,allergy_class__CNNLSTM_padded_mean.pth,0.377795483,0.146812715,0.271175327,0.120951494,0.856424964,0.125593418,0.727346915,0.003876648,0.677714235,0.072037507
10,allergy_class__CNNLSTM__mice.pth,0.382673992,0.150390393,0.271221443,0.121420769,0.856424964,0.125593418,0.727346915,0.003876648,0.684299859,0.077310238
11,allergy_class__CNNLSTM_padded_mice.pth,0.382673992,0.150390393,0.271221443,0.121420769,0.856424964,0.125593418,0.727346915,0.003876648,0.684299859,0.077310238
12,allergy_class__LSTM__mean.pth,0.388436922,0.145061732,0.310064103,0.128877453,0.812135642,0.117123258,0.670633847,0.004877357,0.684368308,0.094630259
13,allergy_class__LSTM__mice.pth,0.388436922,0.145061732,0.310064103,0.128877453,0.812135642,0.117123258,0.670633847,0.004877357,0.684368308,0.094630259
14,allergy_class__LSTM__None.pth,0.388436922,0.145061732,0.310064103,0.128877453,0.812135642,0.117123258,0.670633847,0.004877357,0.684368308,0.094630259
15,allergy_PCA_CNNLSTM__mean.pth,0.39559391,0.152364104,0.340667098,0.249306385,0.792135642,0.133428945,0.680095577,0.005614064,0.685898001,0.077160382
16,allergy_PCA_CNNLSTM_padded_mean.pth,0.39559391,0.152364104,0.340667098,0.249306385,0.792135642,0.133428945,0.680095577,0.005614064,0.685898001,0.077160382
17,allergy_phylum__CNNLSTM__mice.pth,0.383195047,0.150663148,0.309469317,0.140443335,0.856424964,0.125593418,0.673960036,0.010219494,0.688012708,0.088804702
18,allergy_phylum__CNNLSTM_padded_mice.pth,0.383195047,0.150663148,0.309469317,0.140443335,0.856424964,0.125593418,0.673960036,0.010219494,0.688012708,0.088804702
19,allergy_phylum__LSTM_padded_None.pth,0.381063494,0.147873605,0.274899898,0.12398752,0.806580087,0.114642146,0.677536035,0.004778359,0.688065006,0.080616961
20,allergy_phylum__CNNLSTM__mean.pth,0.384057148,0.149559015,0.315206097,0.141828416,0.856424964,0.125593418,0.673960036,0.010219494,0.688486682,0.088802875
21,allergy_phylum__CNNLSTM_padded_mean.pth,0.384057148,0.149559015,0.315206097,0.141828416,0.856424964,0.125593418,0.673960036,0.010219494,0.688486682,0.088802875
22,allergy_PCA_CNNLSTM__mice.pth,0.396708321,0.154842059,0.305006338,0.146967994,0.792135642,0.133428945,0.680095577,0.005614064,0.688583834,0.082614304
23,allergy_PCA_CNNLSTM_padded_mice.pth,0.396708321,0.154842059,0.305006338,0.146967994,0.792135642,0.133428945,0.680095577,0.005614064,0.688583834,0.082614304
24,allergy_class__LSTM_padded_mean.pth,0.389931541,0.152556207,0.372021011,0.253262559,0.806580087,0.114642146,0.670634341,0.004897947,0.689037241,0.085822662
25,allergy_class__LSTM_padded_mice.pth,0.389931541,0.152556207,0.372021011,0.253262559,0.799437229,0.113488677,0.670634341,0.004897947,0.689106685,0.085871106
26,allergy_None__LSTM_padded_None.pth,0.399544601,0.153093685,0.360258098,0.186698692,0.839758297,0.127536857,0.666596657,0.008271322,0.694814587,0.103684775
27,allergy__LSTM_padded_mean.pth,0.39337856,0.143646481,0.361242819,0.18558474,0.856424964,0.125593418,0.666407478,0.008681898,0.695493241,0.079272895
28,allergy__LSTM_padded_mice.pth,0.39337856,0.143646481,0.361242819,0.18558474,0.856424964,0.125593418,0.666407472,0.008681886,0.695513331,0.079134387
29,allergy_phylum__LSTM__mean.pth,0.394914197,0.153120504,0.314690327,0.146536749,0.814635642,0.122325097,0.677480358,0.004766235,0.700247956,0.082440521
30,allergy_phylum__LSTM__mice.pth,0.394914197,0.153120504,0.314690327,0.146536749,0.814635642,0.122325097,0.677480358,0.004766235,0.700247956,0.082440521
31,allergy_phylum__LSTM__None.pth,0.394914197,0.153120504,0.314690327,0.146536749,0.814635642,0.122325097,0.677480358,0.004766235,0.700247956,0.082440521
32,allergy_None__LSTM__mean.pth,0.415306899,0.137941715,0.527602496,0.293125464,0.829909812,0.127089454,0.666407049,0.00835799,0.703441239,0.092981736
33,allergy_None__LSTM__mice.pth,0.415306899,0.137941715,0.527602496,0.293125464,0.829909812,0.127089454,0.666407037,0.008357986,0.703710781,0.093390844
34,allergy_None_PCA_CNNLSTM__mice.pth,0.404648411,0.152316596,0.3066241,0.143993387,0.792135642,0.133428945,0.680165899,0.005619771,0.704995533,0.089316352
35,allergy_None_PCA_CNNLSTM_padded_mice.pth,0.404648411,0.152316596,0.3066241,0.143993387,0.792135642,0.133428945,0.680165899,0.005619771,0.704995533,0.089316352
36,allergy_class__CNNLSTM__None.pth,0.400185185,0.145450209,0.32405551,0.134395778,0.856424964,0.125593418,0.728020793,0.004026799,0.705227979,0.068976322
37,allergy_class__CNNLSTM_padded_None.pth,0.400185185,0.145450209,0.32405551,0.134395778,0.856424964,0.125593418,0.728020793,0.004026799,0.705227979,0.068976322
38,allergy_phylum__LSTM_padded_mean.pth,0.415525813,0.161981569,0.350750359,0.161554597,0.812135642,0.117123258,0.677485627,0.004776416,0.706987979,0.081097375
39,allergy_phylum__LSTM_padded_mice.pth,0.415525813,0.161981569,0.350750359,0.161554597,0.812135642,0.117123258,0.677485627,0.004776416,0.706987979,0.081097375
40,allergy__CNNLSTM__mice.pth,0.409059575,0.111530289,0.448527531,0.244232428,0.838369408,0.126001886,0.679748052,0.007318507,0.709606588,0.081716249
41,allergy__CNNLSTM_padded_mice.pth,0.409059575,0.111530289,0.448527531,0.244232428,0.838369408,0.126001886,0.679748052,0.007318507,0.709606588,0.081716249
42,allergy_phylum__CNNLSTM__None.pth,0.404001819,0.149473038,0.316359463,0.126808424,0.856424964,0.125593418,0.673944855,0.010233191,0.709829604,0.090088175
43,allergy_phylum__CNNLSTM_padded_None.pth,0.404001819,0.149473038,0.316359463,0.126808424,0.856424964,0.125593418,0.673944855,0.010233191,0.709829604,0.090088175
44,allergy_None_PCA_CNNLSTM__GAIN.pth,0.412804461,0.146415322,0.341228918,0.157775109,0.802135642,0.121903939,0.68010034,0.005614286,0.711294121,0.082385588
45,allergy_None_PCA_CNNLSTM_padded_GAIN.pth,0.412804461,0.146415322,0.341228918,0.157775109,0.802135642,0.121903939,0.68010034,0.005614286,0.711294121,0.082385588
46,allergy_None_PCA_CNNLSTM__mean.pth,0.40826951,0.156144483,0.313529711,0.14842171,0.801226551,0.137915379,0.680165905,0.005619771,0.712786364,0.101188986
47,allergy_None_PCA_CNNLSTM_padded_mean.pth,0.40826951,0.156144483,0.313529711,0.14842171,0.801226551,0.137915379,0.680165905,0.005619771,0.712786364,0.101188986
48,allergy_PCA_CNNLSTM__None.pth,0.406469997,0.14475129,0.394013487,0.244855491,0.802135642,0.121903939,0.68010034,0.005614286,0.713591426,0.081530721
49,allergy_PCA_CNNLSTM_padded_None.pth,0.406469997,0.14475129,0.394013487,0.244855491,0.802135642,0.121903939,0.68010034,0.005614286,0.713591426,0.081530721
50,allergy_None__LSTM_padded_mean.pth,0.434177437,0.153153537,0.371637283,0.144062453,0.769758297,0.157833467,0.666376746,0.008558343,0.713635799,0.105142995
51,allergy_None__LSTM_padded_mice.pth,0.434177437,0.153153537,0.371637283,0.144062453,0.769758297,0.157833467,0.666376734,0.008558335,0.713635799,0.105142995
52,allergy_None__CNNLSTM__mean.pth,0.429393272,0.127814338,0.405500382,0.229689471,0.838369408,0.126001886,0.679607886,0.007271131,0.716767252,0.088220301
53,allergy_None__CNNLSTM_padded_mean.pth,0.429393272,0.127814338,0.405500382,0.229689471,0.838369408,0.126001886,0.679607886,0.007271131,0.716767252,0.088220301
54,allergy_order__LSTM_padded_None.pth,0.403186552,0.110821868,0.317910785,0.116067136,0.856424964,0.125593418,0.69028495,0.004443,0.717141205,0.068216647
55,allergy_None__CNNLSTM__mice.pth,0.436036725,0.120129161,0.408504338,0.226136145,0.838369408,0.126001886,0.679607886,0.007271131,0.720848958,0.094059342
56,allergy_None__CNNLSTM_padded_mice.pth,0.436036725,0.120129161,0.408504338,0.226136145,0.838369408,0.126001886,0.679607886,0.007271131,0.720848958,0.094059342
57,allergy_None_PCA_CNNLSTM__None.pth,0.415828024,0.150324857,0.357774944,0.189416317,0.807691198,0.126894733,0.680541444,0.005436485,0.723145663,0.083484019
58,allergy_None_PCA_CNNLSTM_padded_None.pth,0.415828024,0.150324857,0.357774944,0.189416317,0.807691198,0.126894733,0.680541444,0.005436485,0.723145663,0.083484019
59,allergy__CNNLSTM_padded_mean.pth,0.433776707,0.108248182,0.495979927,0.278487995,0.838369408,0.126001886,0.679748052,0.007318507,0.725783955,0.088405722
60,allergy_None_PCA_LSTM__GAIN.pth,0.407999476,0.148137001,0.358019991,0.173073557,0.838170996,0.119157958,0.692239714,0.004455434,0.726523963,0.077022686
61,allergy_None_PCA_LSTM__mean.pth,0.40021538,0.146384681,0.354699896,0.163507046,0.839000722,0.122594462,0.692095262,0.004667072,0.730184986,0.061826033
62,allergy_None_PCA_LSTM__mice.pth,0.40021538,0.146384681,0.32979871,0.154907151,0.839000722,0.122594462,0.692095274,0.004667077,0.730530699,0.061556584
63,allergy_PCA_LSTM_padded_mean.pth,0.402820652,0.127005821,0.304482988,0.108502136,0.828369408,0.124675032,0.692277777,0.004433651,0.730904709,0.074374503
64,allergy_order__CNNLSTM__mean.pth,0.40256017,0.134662917,0.291047123,0.116340288,0.829278499,0.123832272,0.691682845,0.004379292,0.731263208,0.083624492
65,allergy_order__CNNLSTM_padded_mean.pth,0.40256017,0.134662917,0.291047123,0.116340288,0.829278499,0.123832272,0.691682845,0.004379292,0.731263208,0.083624492
66,allergy_PCA_LSTM_padded_mice.pth,0.401925547,0.128806646,0.303808385,0.1098377,0.828369408,0.124675032,0.692277783,0.004433636,0.731663334,0.075211495
67,allergy_PCA_LSTM__mean.pth,0.410402557,0.12340016,0.360821866,0.202755503,0.850869408,0.122774143,0.692229635,0.004429289,0.732044792,0.091439739
68,allergy_PCA_LSTM__mice.pth,0.410402557,0.12340016,0.362881363,0.202717632,0.850869408,0.122774143,0.692229629,0.004429276,0.732044792,0.091439739
69,allergy_None__LSTM__None.pth,0.452888744,0.14465328,0.528553391,0.244673385,0.804512987,0.124333478,0.666344231,0.008467122,0.732073089,0.081378192
70,allergy_PCA_LSTM__None.pth,0.415252926,0.138704338,0.35038612,0.198354725,0.831778499,0.12039223,0.692455614,0.004450803,0.733173402,0.082242601
71,allergy_order__LSTM_padded_mice.pth,0.410615977,0.127541893,0.358635621,0.140831683,0.856424964,0.125593418,0.690117669,0.004541967,0.734475449,0.064225543
72,allergy_order__LSTM_padded_mean.pth,0.412467829,0.128952901,0.377187657,0.150731146,0.856424964,0.125593418,0.690117675,0.004541967,0.735260846,0.064229627
73,allergy_order__LSTM__mean.pth,0.433369235,0.102006372,0.355121111,0.110130522,0.856424964,0.125593418,0.690117443,0.004572362,0.738902948,0.072833983
74,allergy_order__LSTM__mice.pth,0.433369235,0.102006372,0.355121111,0.110130522,0.856424964,0.125593418,0.690117443,0.004572362,0.738902948,0.072833983
75,allergy_order__LSTM__None.pth,0.433369235,0.102006372,0.355121111,0.110130522,0.856424964,0.125593418,0.690117443,0.004572362,0.738902948,0.072833983
76,allergy_order__CNNLSTM__mice.pth,0.407320599,0.130570764,0.289799551,0.108105299,0.829278499,0.123832272,0.691682845,0.004379292,0.742165818,0.070564536
77,allergy_order__CNNLSTM_padded_mice.pth,0.407320599,0.130570764,0.289799551,0.108105299,0.829278499,0.123832272,0.691682845,0.004379292,0.742165818,0.070564536
78,allergy__CNNLSTM__None.pth,0.428921202,0.126831598,0.524559885,0.266154133,0.834202742,0.124017129,0.679624122,0.007326432,0.750763274,0.082135216
79,allergy__CNNLSTM_padded_None.pth,0.428921202,0.126831598,0.524559885,0.266154133,0.834202742,0.124017129,0.679624122,0.007326432,0.750763274,0.082135216
80,allergy_None_PCA_LSTM_padded_GAIN.pth,0.433136404,0.120553276,0.383118045,0.22903008,0.789004329,0.118790269,0.692284948,0.004426822,0.752048291,0.070241737
81,allergy_PCA_LSTM_padded_None.pth,0.433966593,0.121175581,0.383118045,0.22903008,0.789004329,0.118790269,0.692284948,0.004426822,0.752479326,0.071108577
82,allergy_None_PCA_LSTM_padded_None.pth,0.435275385,0.121957728,0.337718625,0.113330966,0.806147186,0.12050218,0.691936773,0.004343144,0.752774752,0.081658372
83,allergy_None_PCA_LSTM__None.pth,0.404072283,0.140826105,0.303392748,0.139552738,0.834635642,0.118228608,0.691978997,0.004613143,0.75408917,0.05855158
84,allergy_None__CNNLSTM__GAIN.pth,0.427059347,0.103303172,0.475817384,0.21016349,0.834202742,0.124017129,0.67962411,0.007326432,0.755815519,0.090262881
85,allergy_None__CNNLSTM_padded_GAIN.pth,0.427059347,0.103303172,0.475817384,0.21016349,0.834202742,0.124017129,0.67962411,0.007326432,0.755815519,0.090262881
86,allergy_phylum__CNNLSTM_padded_GAIN.pth,0.427059347,0.103303172,0.475817384,0.21016349,0.834202742,0.124017129,0.67962411,0.007326432,0.755815519,0.090262881
87,allergy_order__CNNLSTM__None.pth,0.416069369,0.125472406,0.310061054,0.107310135,0.843726551,0.120094317,0.691604847,0.004344363,0.758342744,0.05949046
88,allergy_order__CNNLSTM_padded_None.pth,0.416069369,0.125472406,0.310061054,0.107310135,0.843726551,0.120094317,0.691604847,0.004344363,0.758342744,0.05949046
89,allergy_None_PCA_LSTM_padded_mice.pth,0.435314239,0.132505395,0.395296423,0.159514154,0.817059885,0.118036035,0.692292005,0.004460218,0.768442384,0.061624986
90,allergy_None_PCA_LSTM_padded_mean.pth,0.433499723,0.130613557,0.395296423,0.159514154,0.817059885,0.118036035,0.692291981,0.00446021,0.768682769,0.061529061
91,allergy_None__CNNLSTM__None.pth,0.474547571,0.110225946,0.569722222,0.247395227,0.827059885,0.120379848,0.679255259,0.007334341,0.770800799,0.095974763
92,allergy_None__CNNLSTM_padded_None.pth,0.474547571,0.110225946,0.569722222,0.247395227,0.827059885,0.120379848,0.679255259,0.007334341,0.770800799,0.095974763
93,digiulio_None__CNNLSTM__mean.pth,0.8,0.217944947,0.8,0.217944947,0.8,0.217944947,0.669846314,0.008358084,,
94,digiulio_None__CNNLSTM__mice.pth,0.8,0.217944947,0.8,0.217944947,0.8,0.217944947,0.669846314,0.008358084,,
95,digiulio_None__CNNLSTM__None.pth,0.85,0.122474487,0.85,0.122474487,0.85,0.122474487,0.669837672,0.008362926,,
96,digiulio_None__CNNLSTM_padded_mean.pth,0.8,0.217944947,0.8,0.217944947,0.8,0.217944947,0.669846314,0.008358084,,
97,digiulio_None__CNNLSTM_padded_mice.pth,0.8,0.217944947,0.8,0.217944947,0.8,0.217944947,0.669846314,0.008358084,,
98,digiulio_None__CNNLSTM_padded_None.pth,0.85,0.122474487,0.85,0.122474487,0.85,0.122474487,0.669837672,0.008362926,,
99,digiulio_None__LSTM__mean.pth,0.85,0.122474487,0.85,0.122474487,0.85,0.122474487,0.712750709,0.006725217,,
100,digiulio_None__LSTM__mice.pth,0.85,0.122474487,0.85,0.122474487,0.85,0.122474487,0.712750709,0.006725217,,
101,digiulio_None__LSTM__None.pth,0.85,0.122474487,0.85,0.122474487,0.85,0.122474487,0.712750709,0.006725217,,
102,digiulio_None__LSTM_padded_mean.pth,0.85,0.122474487,0.85,0.122474487,0.85,0.122474487,0.712791157,0.006775147,,
103,digiulio_None__LSTM_padded_mice.pth,0.85,0.122474487,0.85,0.122474487,0.85,0.122474487,0.712791157,0.006775147,,
104,digiulio_None__LSTM_padded_None.pth,0.85,0.122474487,0.85,0.122474487,0.85,0.122474487,0.712850809,0.006796714,,
105,digiulio_None_PCA_CNNLSTM__mean.pth,0.8,0.187082869,0.8,0.187082869,0.8,0.187082869,0.68628028,0.002418923,,
106,digiulio_None_PCA_CNNLSTM__mice.pth,0.8,0.187082869,0.8,0.187082869,0.8,0.187082869,0.68628028,0.002418923,,
107,digiulio_None_PCA_CNNLSTM__None.pth,0.85,0.122474487,0.85,0.122474487,0.85,0.122474487,0.686276543,0.002416619,,
108,digiulio_None_PCA_CNNLSTM_padded_mean.pth,0.8,0.187082869,0.8,0.187082869,0.8,0.187082869,0.68628028,0.002418923,,
109,digiulio_None_PCA_CNNLSTM_padded_mice.pth,0.8,0.187082869,0.8,0.187082869,0.8,0.187082869,0.68628028,0.002418923,,
110,digiulio_None_PCA_CNNLSTM_padded_None.pth,0.85,0.122474487,0.85,0.122474487,0.85,0.122474487,0.686276543,0.002416619,,
111,digiulio_None_PCA_LSTM__mean.pth,0.825,0.160078106,0.825,0.160078106,0.825,0.160078106,0.73483426,0.014103743,,
112,digiulio_None_PCA_LSTM__mice.pth,0.825,0.160078106,0.825,0.160078106,0.825,0.160078106,0.73483426,0.014103743,,
113,digiulio_None_PCA_LSTM__None.pth,0.8,0.217944947,0.8,0.217944947,0.8,0.217944947,0.734838116,0.014060761,,
114,digiulio_None_PCA_LSTM_padded_mean.pth,0.8,0.187082869,0.8,0.187082869,0.8,0.187082869,0.734727603,0.014010328,,
115,digiulio_None_PCA_LSTM_padded_mice.pth,0.8,0.187082869,0.8,0.187082869,0.8,0.187082869,0.734727603,0.014010328,,
116,digiulio_None_PCA_LSTM_padded_None.pth,0.85,0.122474487,0.85,0.122474487,0.85,0.122474487,0.7347224,0.013938402,,
117,mmc7__CNNLSTM__GAIN.pth,0.684311948,0.078333784,0.710190226,0.139692368,0.95804878,0.021847315,0.681527841,0.001467545,0.893367127,0.041499926
118,mmc7__LSTM__GAIN.pth,0.549806176,0.044935832,0.533720708,0.061349066,0.898658537,0.027391286,0.709541309,0.006389851,0.748206177,0.05201011
119,mmc7_PCA_LSTM__GAIN.pth,0.560164624,0.047777964,0.556572171,0.049322552,0.823780488,0.075601396,0.678200024,0.002363589,0.751655872,0.046521032
120,mmc7__LSTM__mean.pth,0.569936439,0.047120982,0.525025456,0.08325608,0.905914634,0.026498866,0.710132957,0.006245521,0.778591315,0.04640199
121,mmc7__LSTM__mice.pth,0.569936439,0.047120982,0.525025456,0.08325608,0.905914634,0.026498866,0.710132957,0.006245521,0.778591315,0.04640199
122,mmc7__LSTM__None.pth,0.569936439,0.047120982,0.525025456,0.08325608,0.905914634,0.026498866,0.710132957,0.006245521,0.778591315,0.04640199
123,mmc7_PCA_LSTM__mean.pth,0.570394134,0.050497392,0.561178277,0.064677709,0.883353659,0.068414553,0.678539592,0.002265934,0.786938479,0.052524893
124,mmc7_PCA_LSTM__mice.pth,0.570394134,0.050497392,0.561178277,0.064677709,0.883353659,0.068414553,0.678539592,0.002265934,0.786938479,0.052524893
125,mmc7_PCA_LSTM__None.pth,0.570394134,0.050497392,0.561178277,0.064677709,0.883353659,0.068414553,0.678539592,0.002265934,0.786938479,0.052524893
126,mmc7_PCA_LSTM_padded_mean.pth,0.621739306,0.050552691,0.553318724,0.119166677,0.90347561,0.035843131,0.670926046,0.002106865,0.869894715,0.037705769
127,mmc7_PCA_LSTM_padded_mice.pth,0.624457405,0.054679728,0.565921875,0.124522863,0.90347561,0.035843131,0.670926064,0.002106862,0.869989218,0.037690169
128,mmc7__CNNLSTM__mean.pth,0.666978684,0.045490183,0.709408303,0.117765792,0.965487805,0.029147617,0.681560242,0.001464948,0.884339809,0.033123797
129,mmc7__CNNLSTM_padded_mean.pth,0.666978684,0.045490183,0.709408303,0.117765792,0.965487805,0.029147617,0.681560242,0.001464948,0.884339809,0.033123797
130,mmc7__CNNLSTM__mice.pth,0.676957508,0.053131179,0.710213491,0.116993607,0.965487805,0.029147617,0.681560242,0.001464948,0.886577195,0.034307718
131,mmc7__CNNLSTM_padded_mice.pth,0.676957508,0.053131179,0.710213491,0.116993607,0.965487805,0.029147617,0.681560242,0.001464948,0.886577195,0.034307718
132,mmc7__LSTM_padded_GAIN.pth,0.678474598,0.066879709,0.78561218,0.093755665,0.965304878,0.012254277,0.712006193,0.002031703,0.888096576,0.04449756
133,mmc7__CNNLSTM_padded_GAIN.pth,0.684311948,0.078333784,0.710190226,0.139692368,0.95804878,0.021847315,0.681527841,0.001467545,0.893367127,0.041499926
134,mmc7__LSTM_padded_mean.pth,0.706565174,0.069026198,0.763344815,0.104892333,0.965304878,0.012254277,0.712045884,0.002033918,0.902692445,0.038998396
135,mmc7__LSTM_padded_mice.pth,0.706565174,0.069026198,0.763344815,0.104892333,0.965304878,0.012254277,0.712045884,0.002033918,0.902692445,0.038998396
136,mmc7_PCA_LSTM_padded_GAIN.pth,0.713781299,0.112941042,0.664259528,0.160498712,0.935670732,0.022635424,0.671316504,0.001931523,0.921013961,0.057350574
137,mmc7_PCA_CNNLSTM__mean.pth,0.769899975,0.078063791,0.796123872,0.107707037,0.906036585,0.048957339,0.739081031,0.005435255,0.925746012,0.026733923
138,mmc7_PCA_CNNLSTM_padded_mean.pth,0.769899975,0.078063791,0.796123872,0.107707037,0.906036585,0.048957339,0.739081031,0.005435255,0.925746012,0.026733923
139,mmc7_PCA_CNNLSTM__mice.pth,0.797318099,0.053604192,0.804684647,0.067104805,0.908536585,0.041340384,0.739081013,0.005435259,0.93689023,0.02795518
140,mmc7_PCA_CNNLSTM_padded_mice.pth,0.797318099,0.053604192,0.804684647,0.067104805,0.908536585,0.041340384,0.739081013,0.005435259,0.93689023,0.02795518
141,mmc7_PCA_LSTM_padded_None.pth,0.779130004,0.097925537,0.738490863,0.118454173,0.952987805,0.017266867,0.670718694,0.002048637,0.947975666,0.049418448
142,mmc7_PCA_CNNLSTM__GAIN.pth,0.806857944,0.066996011,0.800895028,0.075643483,0.938170732,0.037286174,0.739154601,0.005434296,0.948261266,0.035409002
143,mmc7_PCA_CNNLSTM_padded_GAIN.pth,0.806857944,0.066996011,0.800895028,0.075643483,0.938170732,0.037286174,0.739154601,0.005434296,0.948261266,0.035409002
144,mmc7__CNNLSTM__None.pth,0.811818849,0.071860003,0.839558045,0.103651879,0.970365854,0.014514757,0.681573004,0.001468298,0.962522689,0.036718155
145,mmc7__CNNLSTM_padded_None.pth,0.811818849,0.071860003,0.839558045,0.103651879,0.970365854,0.014514757,0.681573004,0.001468298,0.962522689,0.036718155
146,mmc7__LSTM_padded_None.pth,0.815239348,0.060249319,0.806777613,0.077765631,0.967804878,0.011397058,0.711486071,0.001905177,0.965781501,0.020613948
147,mmc7_PCA_CNNLSTM__None.pth,0.837104388,0.03360058,0.827940901,0.072214015,0.94804878,0.023459053,0.739005905,0.005395844,0.971555445,0.01308375
148,mmc7_PCA_CNNLSTM_padded_None.pth,0.837104388,0.03360058,0.827940901,0.072214015,0.94804878,0.023459053,0.739005905,0.005395844,0.971555445,0.01308375